	AllTransactions

	1/1/2023 through 3/9/2026 (in U.S. Dollars)


	Date	Account	Description	Memo	Category	Amount	
			
			
			
			
			
							
	BALANCE 12/31/2022	-0.0(	
	    3/17/2023	Cash	ARCO		Auto:Fuel	-20.93	
	    3/18/2023	MasterCard	Metropolitan Market		Groceries	-102.36	
	    3/18/2023	MasterCard	Amazon Music		Entertainment	-5.49	
	    3/18/2023	MasterCard	Amazon		Household	-34.21	
	    3/18/2023	MasterCard	Amazon		Medical:Medicine	-19.81	
	    3/20/2023	Checking	T-mobile		Utilities:Telephone	-247.11	
	    3/20/2023	MasterCard	Safeway		Groceries	-23.55	
	    3/21/2023	Cash	ARCO		Auto:Fuel	-19.64	
	    3/21/2023	MasterCard	Audible.Com		Entertainment	-16.46	
	    3/21/2023	MasterCard	Amazon		Household	-7.70	
	    3/21/2023	MasterCard	Amazon		Medical:Medicine	-17.77	
	    3/21/2023	Investment1	UNITEDHEALTH GROUP	UNITEDHEALTH GROUP	_DivInc	13.20	
	    3/22/2023	MasterCard	Amazon		Medical:Medicine	-40.52	
	    3/22/2023	Investment2	PROSPECT CAP CORP	DIVIDEND RECEIVED	_DivInc	48.00	
	    3/23/2023	MasterCard	Rory Llc		Dining	-82.00	
	    3/23/2023	Investment2	4.254 INVESCO DIVERSIFIED DIVIDEND INVESTOR CL		_DivInc	70.96	
	    3/23/2023	Investment1	BLACKROCK INC	BLACKROCK INC	_DivInc	20.00	
	    3/23/2023	Investment1	RAYTHEON TECHNOLOGIES	RAYTHEON TECHNOLOGIES	_DivInc	7.15	
	    3/24/2023	Checking	ARCO	 	Auto:Fuel	-52.99	
	    3/24/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    3/24/2023	MasterCard	Pcc		Groceries	-43.53	
	    3/24/2023	Investment1	L3HARRIS TECHNOLOGIES	L3HARRIS TECHNOLOGIES	_DivInc	14.82	
	    3/25/2023	MasterCard	Best Friends Grooming		Pet	-102.00	
	    3/25/2023	MasterCard	Trader Joe's		Groceries	-68.92	
	    3/25/2023	MasterCard	Cafe Qps		Dining	-4.40	
	    3/27/2023	Checking	Zelle Bob			-100.00	
	    3/27/2023	Cash	Ziply Fiber		Utilities:Internet	-83.51	
	    3/27/2023	MasterCard	Trader Joe's		Groceries	-112.41	
	    3/27/2023	MasterCard	Lululemon		Clothing	-54.00	
	    3/27/2023	MasterCard	Iherb.Com		Groceries	-32.49	
	    3/27/2023	MasterCard	Prime Video		Streaming	-5.49	
	    3/27/2023	MasterCard	Walgreens		Medical:Medicine	-6.40	
	    3/27/2023	MasterCard	Rei		Clothing	-79.03	
	    3/27/2023	MasterCard	Totem Lake		Groceries	-76.70	
	    3/27/2023	MasterCard	Barnes & Noble		Books	-5.73	
	    3/28/2023	Checking	ARCO	 	Auto:Fuel	-71.48	
	    3/28/2023	Cash	ARCO		Auto:Fuel	-22.22	
	    3/28/2023	MasterCard	Tom Douglas		Dining	-74.21	
	    3/28/2023	MasterCard	Hanoon		Dining	-8.71	
	    3/28/2023	MasterCard	Dermatology Arts		Medical:Doctor	-226.87	
	    3/28/2023	MasterCard	Amazon		Medical:Medicine	-13.48	
	    3/28/2023	Investment1	LINDE PLC	LINDE PLC NEW	_DivInc	11.48	
	    3/29/2023	MasterCard	Amazon		Household	-41.83	
	    3/30/2023	Checking	Nordstrom		Clothing	-430.20	
	    3/30/2023	Cash	ARCO		Auto:Fuel	-11.20	
	    3/30/2023	MasterCard	Tracki		Household	-19.95	
	    3/31/2023	Cash	Ally Financial	BILL PAYMENT         ALLY FINANCIAL	Auto:Loan	-714.45	
	    3/31/2023	Cash	Interest Earned	INTEREST EARNED	Interest Inc	217.63	
	    3/31/2023	MasterCard	         Qps		Dining	-1.25	
	    3/31/2023	Investment2	3.864 FIDELITY MUNICIPAL INCOME		_DivInc	46.95	
	    3/31/2023	Investment2	8.685 FIDELITY CAPITAL & INCOME		_DivInc	80.25	
	    3/31/2023	Investment2	FIDELITY GOVERNMENT MONEY MARKET	DIVIDEND RECEIVED	_DivInc	85.43	
	    3/31/2023	Investment1	BECTON DICKINSON & CO	BECTON DICKINSON & CO	_DivInc	9.10	
	    3/31/2023	Investment1	EVERSOURCE ENERGY	EVERSOURCE ENERGY	_DivInc	15.53	
